phiSim, phiPrep, phiNoprep
-19.603922,-20.078660,NaN
-5.019969,-4.988908,-13.565354
33.730351,33.724867,39.290125
-62.659379,-62.358730,-71.169693
14.754819,14.927542,16.241996
-61.182193,-61.032419,-61.169386
-26.844750,-27.202141,-28.884077
22.387269,22.464312,25.838161
-0.966315,-0.897504,-1.585005
-33.865854,-34.119660,-34.381300
27.365348,27.353276,35.553312
3.900567,3.900806,8.987128
-21.406919,-21.778188,-21.235948
10.875254,10.781961,12.574889
-16.957046,-17.232452,-1.060714
-18.936483,-19.305032,-18.775350
27.825214,28.188327,27.433936
18.180104,18.310301,28.395747
7.283753,-0.888340,-2.469304
40.548882,40.682486,40.428099
-3.093705,-3.131002,7.652602
-4.910673,-5.068794,-13.644257
29.986622,29.799874,29.282801
43.202847,43.287256,44.080940
-9.349819,-9.436923,5.775519
-5.782263,NaN,-7.442033
-21.031111,-21.479631,-20.478761
-14.453547,-14.531558,-21.973589
-23.626306,-10.794271,-5.285267
31.061115,31.442335,32.220923
-30.617459,-30.992942,-31.772750
-11.646291,-11.774534,-12.000885
-41.195749,-41.206507,-46.336149
-15.901547,-15.432551,-13.961001
-31.331804,-31.388984,-32.178992
24.678329,32.236958,24.968104
-11.264443,-14.803046,-24.595729
30.227047,30.311285,31.145083
-27.998150,-26.576598,-28.121138
68.510598,68.183760,68.075768
9.071575,10.289954,28.955047
43.125745,43.175594,43.141637
12.588506,12.677927,-1.165126
50.425746,50.190451,50.269184
69.197961,68.861502,70.343531
-6.323547,-6.382995,-12.300465
-28.533942,-28.565240,-30.940812
-51.236054,-51.820181,-53.377594
0.837940,0.525550,-0.498450
-9.249451,-9.354215,-21.732157
4.281156,4.325654,9.011573
36.078583,35.939518,NaN
-6.584666,7.248669,-3.051829
37.069010,37.204226,37.437212
-23.224373,-26.007695,-27.205206
33.214915,33.172071,51.289688
-21.071293,-22.063632,-22.798043
30.197221,30.359886,30.777502
5.648758,NaN,14.715617
-30.155256,-30.337780,-25.658392
12.775052,12.916092,11.655857
-36.541714,NaN,-28.788647
0.055536,-0.283826,18.506051
-76.892506,-73.923256,-77.252028
-18.161509,-18.605706,-8.986155
18.648518,21.546331,19.126094
-42.719197,-42.962565,NaN
-7.476949,-7.720530,-6.942759
0.017962,0.585603,-6.499701
27.840218,28.121784,31.068879
15.709654,29.441104,71.301422
14.511268,14.595404,21.116266
-29.212593,-29.504444,-31.110716
-26.589886,-26.785212,-26.599487
-21.002905,-21.378530,7.025920
