phiSim, phiPrep
-26.752637,-26.961661
26.737391,26.882090
4.781265,4.623680
17.368802,17.302741
8.111897,10.250137
24.290909,24.589670
7.018100,NaN
14.890394,25.755588
46.992678,46.910352
16.821929,17.044259
-7.386104,-9.323970
-35.809182,-35.963102
12.556440,13.036207
-24.806592,-33.078067
6.027243,18.920412
-11.359036,-11.433588
-4.434596,-4.301393
0.655205,0.613850
-5.622098,-5.564414
-13.751990,-18.267979
-18.108984,-18.521735
-15.175540,-15.781722
24.125100,26.323295
37.644724,37.465431
19.771365,20.223035
43.494423,43.603579
-25.813120,-26.026724
38.199516,38.329060
-5.395916,-5.313149
-11.505680,-12.298103
4.719360,7.674114
-54.725333,-49.869220
-3.948468,-4.448229
-8.826371,-3.057176
35.881353,36.321555
-15.682327,-15.808401
-8.343272,-6.543636
35.884534,36.227207
-38.650930,-39.038691
-33.095073,-33.392865
11.172997,11.162455
10.843590,11.042613
24.850036,25.000734
-26.743138,-34.660564
14.935354,20.190000
-31.908597,-32.168810
30.015639,30.044977
4.088260,3.695744
10.824988,10.863470
-4.109981,-4.076708
1.253635,1.283676
11.540347,11.447750
-9.066893,-9.296584
13.896764,14.166710
-20.022427,-19.352318
36.598172,36.647856
18.048238,18.403256
-53.617989,-53.708755
-8.030264,-8.020353
17.206977,19.251761
1.278229,6.817009
3.495157,3.410520
-15.262617,-15.366092
9.405549,9.345615
12.695334,13.119296
7.753731,8.624708
-4.166927,1.293222
24.013247,24.385250
5.257453,5.444928
-9.391410,-0.252758
-24.267527,-24.586114
26.576564,26.914180
53.504734,53.310462
12.940328,13.971175
1.178303,-0.812177
52.105257,52.048257
-34.644943,-34.906304
-20.204587,-20.594165
-36.065004,-36.299869
-37.545554,-37.474899
4.205883,4.202505
-35.015567,-35.396172
-10.266896,-10.515011
2.808288,5.723457
-11.099020,-11.138582
8.085424,8.050572
-3.231037,-3.068232
15.153556,15.537349
6.432284,6.561160
10.430546,10.338378
45.204453,45.502564
-10.425813,-10.408469
42.970392,42.896356
17.651183,17.630026
36.616913,37.019776
-20.155092,-20.853415
8.951256,8.818131
29.438062,30.015241
40.721177,40.768258
-6.163288,-6.135225
-42.183783,-42.129307
21.901539,22.318111
37.851686,37.873046
2.740465,0.074183
26.171376,26.303924
-14.190435,-14.313763
47.331159,47.168001
-12.601626,-13.190662
-26.914316,-27.263365
-22.815970,-27.829056
-29.982255,-30.263262
34.059173,34.523926
-24.980550,-25.953027
-8.795264,-8.837777
17.594057,18.048096
-13.358565,-13.653638
-2.452241,-2.295396
-42.468640,-42.604002
-25.797316,-25.101511
11.446524,11.547859
-10.952468,1.409519
26.594259,26.751709
15.483793,15.700506
50.550308,50.359141
3.775326,4.394188
-6.007502,-5.939159
-7.478969,1.242184
-22.267367,-22.601817
-3.894610,-1.026479
-14.530523,-14.568993
17.539420,17.567252
-6.192698,-7.316697
62.317645,62.027172
-0.833604,-0.850732
-1.565101,0.016368
-17.942472,-18.075987
3.682515,3.767036
-1.172691,-1.201443
10.888486,21.417778
0.228592,0.269332
7.743141,7.771744
49.153673,48.897698
17.903301,17.248944
-33.983732,-34.122554
13.195271,13.424356
-47.286440,-47.440599
-16.898024,-16.922951
13.634264,14.013307
26.424480,26.623063
-16.247539,-16.472821
-26.003322,-26.211729
20.233631,20.333532
10.684876,10.871960
16.875879,16.818846
-11.583765,-1.426760
1.718050,1.704954
4.303763,4.515479
19.515543,19.862372
24.883856,25.129548
12.692088,12.867746
-36.313601,-36.401041
-13.339285,-13.626743
-9.639380,-9.882418
-18.636596,-28.579758
16.689988,16.825540
14.021732,13.886356
-3.393635,-3.277047
-27.194250,-27.466573
12.204296,12.227687
46.418878,46.434487
-10.652952,-10.889508
18.962554,20.137008
-31.762792,-31.842808
9.032536,9.217980
31.469945,31.639645
-34.136878,-41.243009
-5.520903,-5.412918
23.761075,24.153891
-1.571830,-1.532774
34.035537,33.907746
11.613030,11.619558
-19.815829,-19.921147
2.444214,2.457253
-20.058003,-20.341464
-14.578084,-19.319980
42.329039,42.257929
-15.306977,-11.442494
-36.279275,-36.387778
-10.344794,-10.295927
13.250154,13.439617
-38.880360,-39.137145
2.341697,2.268555
5.059387,4.875077
-28.298394,-35.260920
38.409411,57.306778
12.488664,12.371427
-3.135695,-3.039667
9.370336,9.320603
-6.634655,-6.769465
-22.650784,-22.733824
3.150255,3.202969
27.872968,27.729111
-6.735760,-7.012627
16.692704,24.359239
-17.013123,-16.959869
24.508425,24.536990
-1.346972,-1.234508
8.661987,8.815468
-15.986464,-16.171273
12.620266,12.477760
7.065830,8.177769
36.749067,36.879161
-22.180868,-22.298721
10.033644,10.070038
3.608657,3.719428
4.874961,4.832914
-32.719162,-32.905820
-14.561112,-14.575170
6.317634,6.435389
-5.087633,-5.079131
2.759390,2.775359
16.861951,17.316263
-18.461178,-19.804095
6.541717,6.506494
3.115190,-0.320538
8.793959,8.610863
-3.696522,-3.559401
17.937684,18.077259
-28.119203,NaN
-10.590912,-10.572951
43.758794,43.649416
25.488887,25.395936
26.480919,27.151095
-14.046892,-14.293894
2.181577,-2.762330
1.344730,1.122148
-18.032876,-18.056998
-7.749351,-7.796064
8.975685,9.175776
-13.594280,-13.910117
17.047632,17.033342
-24.764525,-25.016556
4.521516,4.376132
36.585434,36.513901
-33.747866,-33.998077
2.970040,-0.455993
25.651733,32.705488
-15.268237,-16.247841
-13.431696,-13.670937
10.739675,10.876756
-22.732476,-23.046448
-9.949045,-10.217448
-16.761954,-17.249057
17.645022,17.713047
-3.938491,-4.193188
