WSS, time,phi
0.000000,184.400826,85.562080
0.000000,184.504132,83.968764
0.000000,184.607438,48.170417
0.000000,184.710744,-77.121753
0.000000,184.814050,-18.527814
0.000000,184.917355,-61.648707
0.000000,185.020661,-61.634966
0.000000,185.123967,57.280160
0.000000,185.227273,-69.700439
0.000000,185.330579,-59.848207
0.000000,185.433884,-45.104606
0.000000,185.537190,-63.895059
0.000000,185.640496,76.755797
0.000000,185.743802,45.087282
0.000000,185.847107,27.810727
0.000000,185.950413,24.657015
0.000000,186.053719,1.335811
0.000000,186.157025,-30.398764
0.000000,186.260331,84.583891
0.000000,186.363636,81.946448
0.000000,186.466942,20.855330
0.000000,186.570248,21.068841
0.000000,186.673554,16.390721
0.000000,186.776860,28.722635
0.000000,186.880165,77.723367
0.000000,186.983471,29.708101
0.000000,187.086777,41.795040
0.000000,187.190083,38.855693
0.000000,187.293388,45.038300
0.000000,187.396694,54.440679
0.000000,187.500000,49.949041
0.000000,187.603306,74.908188
0.000000,187.706612,-82.853761
0.000000,187.809917,-69.694231
0.000000,187.913223,-21.714595
0.000000,188.016529,-1.162873
0.000000,188.119835,-23.309993
0.000000,188.223140,-20.139129
0.000000,188.326446,-54.222786
0.000000,188.429752,-61.555402
0.000000,188.533058,-19.736815
0.000000,188.636364,-36.162000
0.000000,188.739669,-47.841017
0.000000,188.842975,-75.807469
0.000000,188.946281,-52.152362
0.000000,189.049587,-47.524538
0.000000,189.152893,-41.794482
0.000000,189.256198,-22.884109
0.000000,189.359504,-27.742002
0.000000,189.462810,-13.454318
0.000000,189.566116,-43.493344
0.000000,189.669421,-58.287678
0.000000,189.772727,-14.798906
0.000000,189.876033,-81.111742
0.000000,189.979339,51.854561
0.000000,190.082645,32.349199
0.000000,190.185950,59.273885
0.000000,190.289256,75.864484
0.000000,190.392562,61.817294
0.000000,190.495868,30.166873
0.000000,190.599174,65.410525
0.000000,190.702479,67.992013
0.000000,190.805785,62.669746
0.000000,190.909091,47.263584
0.000000,191.012397,45.780992
0.000000,191.115702,65.530820
0.000000,191.219008,-82.083983
0.000000,191.322314,85.139674
0.000000,191.425620,-12.469607
0.000000,191.528926,9.830346
0.000000,191.632231,-14.466885
0.000000,191.735537,-32.102330
0.000000,191.838843,-11.061368
0.000000,191.942149,-8.095961
0.000000,192.045455,5.669932
0.000000,192.148760,16.654119
0.000000,192.252066,83.552579
0.000000,192.355372,11.960142
0.000000,192.458678,64.883504
0.000000,192.561983,74.350831
0.000000,192.665289,39.250075
0.000000,192.768595,34.957875
0.000000,192.871901,30.952889
0.000000,192.975207,21.755802
0.000000,193.078512,85.695445
0.000000,193.181818,-83.960424
0.000000,193.285124,84.620807
0.000000,193.388430,-84.538358
0.000000,193.491736,-69.606316
0.000000,193.595041,-54.147864
0.000000,193.698347,-81.872477
0.000000,193.801653,72.362123
0.000000,193.904959,53.229703
0.000000,194.008264,17.122424
0.000000,194.111570,43.086415
0.000000,194.214876,65.797280
0.000000,194.318182,63.487224
0.000000,194.421488,43.501550
0.000000,194.524793,77.621828
0.000000,194.628099,84.414116
0.000000,194.731405,-74.910441
0.000000,194.834711,-55.947451
0.000000,194.938017,82.239405
0.000000,195.041322,-84.729859
0.000000,195.144628,-8.451348
0.000000,195.247934,5.604505
0.000000,195.351240,4.284567
0.000000,215.392562,4.495479
0.000000,215.495868,-27.547049
0.000000,215.599174,-16.293382
0.000000,215.702479,-21.320328
0.000000,215.805785,5.497677
0.000000,215.909091,-13.771909
0.000000,216.012397,-45.424327
0.000000,216.115702,-20.169070
0.000000,216.219008,-0.817867
0.000000,216.322314,23.645436
0.000000,216.425620,39.343134
0.000000,216.528926,-4.119223
0.000000,216.632231,-85.756868
0.000000,216.735537,-80.420241
0.000000,216.838843,61.712269
0.000000,216.942149,38.055039
0.000000,217.045455,21.940875
0.000000,217.148760,30.826932
0.000000,217.252066,-35.232391
0.000000,217.355372,-17.748146
0.000000,217.458678,-20.445030
0.000000,217.561983,-21.991064
0.000000,217.665289,-56.119565
0.000000,217.768595,0.605164
0.000000,217.871901,5.763570
0.000000,217.975207,-34.128681
0.000000,218.078512,-38.398526
0.000000,218.181818,-61.031414
0.000000,218.285124,-12.781118
0.000000,218.388430,-50.316500
0.000000,218.491736,-47.236008
0.000000,218.595041,-51.484900
0.000000,218.698347,-30.732344
0.000000,218.801653,-20.947786
0.000000,218.904959,-29.067963
0.000000,219.008264,-60.530138
0.000000,219.111570,-64.496473
0.000000,219.214876,-45.906065
0.000000,219.318182,-28.577260
0.000000,219.421488,-26.731376
0.000000,219.524793,74.806687
0.000000,219.628099,29.610501
0.000000,219.731405,57.141303
0.000000,219.834711,16.274285
0.000000,219.938017,3.054162
0.000000,220.041322,-29.034663
0.000000,220.144628,-42.957694
0.000000,220.247934,-29.257350
0.000000,220.351240,-85.407682
0.000000,220.454545,-69.169699
0.000000,220.557851,-16.724826
0.000000,220.661157,-32.273394
0.000000,220.764463,-24.986533
0.000000,220.867769,19.073497
0.000000,220.971074,9.935334
0.000000,221.074380,11.677668
0.000000,221.177686,25.577928
0.000000,221.280992,36.907945
0.000000,221.384298,48.586826
0.000000,221.487603,-86.257498
0.000000,221.590909,82.516310
0.000000,221.694215,66.222122
0.000000,221.797521,24.424811
0.000000,221.900826,36.817229
0.000000,222.004132,36.814594
0.000000,222.107438,38.310292
0.000000,222.210744,36.073894
0.000000,222.314050,25.110566
0.000000,222.417355,78.421081
0.000000,222.520661,67.560913
0.000000,222.623967,24.590608
0.000000,222.727273,-2.534590
