Pe, phi, Phi
5.415135,-24.307300,0.498696
5.415135,-23.873241,0.503320
5.415135,-23.439183,0.507906
5.415135,-23.005124,0.512455
5.415135,-22.571065,0.516962
5.415135,-22.137006,0.521426
5.415135,-21.702947,0.525846
5.415135,-21.268888,0.530219
5.415135,-20.834829,0.534543
5.415135,-20.400770,0.538817
5.415135,-19.966711,0.543038
5.415135,-19.532652,0.547204
5.415135,-19.098593,0.551314
5.415135,-18.664534,0.555365
5.415135,-18.230475,0.559355
5.415135,-17.796416,0.563284
5.415135,-17.362357,0.567148
5.415135,-16.928298,0.570946
5.415135,-16.494240,0.574676
5.415135,-16.060181,0.578336
5.415135,-15.626122,0.581925
5.415135,-15.192063,0.585440
5.415135,-14.758004,0.588880
5.415135,-14.323945,0.592244
5.415135,-13.889886,0.595529
5.415135,-13.455827,0.598733
5.415135,-13.021768,0.601856
5.415135,-12.587709,0.604896
5.415135,-12.153650,0.607850
5.415135,-11.719591,0.610719
5.415135,-11.285532,0.613499
5.415135,-10.851473,0.616190
5.415135,-10.417414,0.618790
5.415135,-9.983356,0.621297
5.415135,-9.549297,0.623712
5.415135,-9.115238,0.626031
5.415135,-8.681179,0.628255
5.415135,-8.247120,0.630382
5.415135,-7.813061,0.632411
5.415135,-7.379002,0.634340
5.415135,-6.944943,0.636169
5.415135,-6.510884,0.637896
5.415135,-6.076825,0.639521
5.415135,-5.642766,0.641043
5.415135,-5.208707,0.642462
5.415135,-4.774648,0.643776
5.415135,-4.340589,0.644984
5.415135,-3.906530,0.646087
5.415135,-3.472471,0.647083
5.415135,-3.038413,0.647971
5.415135,-2.604354,0.648752
5.415135,-2.170295,0.649425
5.415135,-1.736236,0.649990
5.415135,-1.302177,0.650446
5.415135,-0.868118,0.650794
5.415135,-0.434059,0.651033
5.415135,0.000000,0.651162
5.415135,0.434059,0.651182
5.415135,0.868118,0.651092
5.415135,1.302177,0.650894
5.415135,1.736236,0.650587
5.415135,2.170295,0.650171
5.415135,2.604354,0.649646
5.415135,3.038413,0.649014
5.415135,3.472471,0.648273
5.415135,3.906530,0.647425
5.415135,4.340589,0.646470
5.415135,4.774648,0.645408
5.415135,5.208707,0.644241
5.415135,5.642766,0.642968
5.415135,6.076825,0.641592
5.415135,6.510884,0.640111
5.415135,6.944943,0.638528
5.415135,7.379002,0.636843
5.415135,7.813061,0.635056
5.415135,8.247120,0.633170
5.415135,8.681179,0.631184
5.415135,9.115238,0.629101
5.415135,9.549297,0.626921
5.415135,9.983356,0.624645
5.415135,10.417414,0.622276
5.415135,10.851473,0.619812
5.415135,11.285532,0.617257
5.415135,11.719591,0.614612
5.415135,12.153650,0.611877
5.415135,12.587709,0.609055
5.415135,13.021768,0.606147
5.415135,13.455827,0.603155
5.415135,13.889886,0.600079
5.415135,14.323945,0.596922
5.415135,14.758004,0.593686
5.415135,15.192063,0.590371
5.415135,15.626122,0.586979
5.415135,16.060181,0.583513
5.415135,16.494240,0.579974
5.415135,16.928298,0.576364
5.415135,17.362357,0.572685
5.415135,17.796416,0.568938
5.415135,18.230475,0.565125
5.415135,18.664534,0.561249
5.415135,19.098593,0.557310
5.415135,19.532652,0.553311
5.415135,19.966711,0.549254
5.415135,20.400770,0.545141
5.415135,20.834829,0.540974
5.415135,21.268888,0.536754
5.415135,21.702947,0.532484
5.415135,22.137006,0.528166
5.415135,22.571065,0.523801
5.415135,23.005124,0.519391
5.415135,23.439183,0.514939
5.415135,23.873241,0.510447
5.415135,24.307300,0.505916
5.415135,24.741359,0.501348
5.415135,25.175418,0.496746
5.415135,25.609477,0.492111
5.415135,26.043536,0.487445
5.415135,26.477595,0.482751
5.415135,26.911654,0.478029
5.415135,27.345713,0.473283
5.415135,27.779772,0.468514
5.415135,28.213831,0.463723
5.415135,28.647890,0.458914
5.415135,29.081949,0.454087
5.415135,29.516008,0.449245
5.415135,29.950067,0.444389
5.415135,30.384125,0.439522
5.415135,30.818184,0.434644
5.415135,31.252243,0.429759
5.415135,31.686302,0.424866
5.415135,32.120361,0.419969
5.415135,32.554420,0.415070
5.415135,32.988479,0.410169
5.415135,33.422538,0.405268
5.415135,33.856597,0.400370
5.415135,34.290656,0.395475
5.415135,34.724715,0.390585
5.415135,35.158774,0.385702
5.415135,35.592833,0.380827
5.415135,36.026892,0.375962
5.415135,36.460951,0.371108
5.415135,36.895010,0.366267
5.415135,37.329068,0.361440
5.415135,37.763127,0.356629
5.415135,38.197186,0.351834
5.415135,38.631245,0.347057
5.415135,39.065304,0.342300
5.415135,39.499363,0.337563
5.415135,39.933422,0.332848
5.415135,40.367481,0.328157
5.415135,40.801540,0.323489
5.415135,41.235599,0.318847
5.415135,41.669658,0.314230
5.415135,42.103717,0.309641
5.415135,42.537776,0.305081
5.415135,42.971835,0.300550
5.415135,58.197186,0.165308
5.415135,73.422538,0.081168
5.415135,88.647890,0.037323
5.415135,103.873241,0.016948
5.415135,119.098593,0.008006
5.415135,134.323945,0.004087
5.415135,149.549297,0.002269
5.415135,164.774648,0.001321
5.415135,180.000000,0.000599
8.117703,-180.000000,0.000049
8.117703,-164.774648,0.000068
8.117703,-149.549297,0.000149
8.117703,-134.323945,0.000382
8.117703,-119.098593,0.001110
8.117703,-103.873241,0.003526
8.117703,-88.647890,0.011582
8.117703,-73.422538,0.036781
8.117703,-58.197186,0.105159
8.117703,-42.971835,0.253410
8.117703,-42.537776,0.259045
8.117703,-42.103717,0.264756
8.117703,-41.669658,0.270541
8.117703,-41.235599,0.276402
8.117703,-40.801540,0.282335
8.117703,-40.367481,0.288341
8.117703,-39.933422,0.294418
8.117703,-39.499363,0.300566
8.117703,-39.065304,0.306783
8.117703,-38.631245,0.313068
8.117703,-38.197186,0.319420
8.117703,-37.763127,0.325836
8.117703,-37.329068,0.332315
8.117703,-36.895010,0.338855
8.117703,-36.460951,0.345455
8.117703,-36.026892,0.352113
8.117703,-35.592833,0.358828
8.117703,-35.158774,0.365597
8.117703,-34.724715,0.372418
8.117703,-34.290656,0.379289
8.117703,-33.856597,0.386207
8.117703,-33.422538,0.393169
8.117703,-32.988479,0.400175
8.117703,-32.554420,0.407220
8.117703,-32.120361,0.414304
8.117703,-31.686302,0.421422
8.117703,-31.252243,0.428573
8.117703,-30.818184,0.435753
8.117703,-30.384125,0.442959
8.117703,-29.950067,0.450188
8.117703,-29.516008,0.457437
8.117703,-29.081949,0.464703
8.117703,-28.647890,0.471984
8.117703,-28.213831,0.479274
8.117703,-27.779772,0.486572
8.117703,-27.345713,0.493874
